what is your age group?,What is your gender?,What is your approximate monthly income/allowance( £) ,How often do you buy clothing?,How much do you typically spend per clothing purchase (£)? ,"Where do you mostly shop for clothing?  

","Which online platforms do you use? (Select all that apply) 
","How far in advance do you plan clothing purchases? 

","How often do you buy during sales or discount events? 
","Do you prefer buying from sustainable/ethical brands?  
","What influences your clothing purchase most? 
","How important is brand loyalty to you? 
","How often do you return clothing items?  
","How do you discover new clothing brands?  
","How important is fast delivery when shopping online? 
","Do you follow fashion influencers on social media?  
","How likely are you to buy clothing seen on social media? 
"
18-24,Male,Under £500,Every 2-3 months,Under £20,Both equally,Amazon,Months before,Always,Strongly prefer,Brand,Important,Rarely,Social Media,Very important,"Yes, occasionally",Likely
18-24,Male,Under £500,Twice a year,Under £20,Both equally,Other,Day before,Often,Strongly prefer,Price,Important,Sometimes,Online search,Very important,No,Likely
18-24,Male,Under £500,Twice a year,£20-£50,"Online only, In-store only, Both equally",Amazon,Weeks before,,Somewhat prefer,Trends,Important,Rarely,Social Media,,"Yes, occasionally",Neutral
25-34,Male,Under £500,Every 2-3 months,Under £20,Both equally,Other,I don't plan,Sometimes,Somewhat prefer,Price,Very important,Rarely,Social Media,Very important,"Yes, occasionally",Neutral
18-24,Male,£500-£1000,Monthly,£50-£100,In-store only,Amazon,Day before,Often,Neutral,Social Media,Not important,Sometimes,In-store,Not important,No,Very unlikely
18-24,Female,£2000-£3500,Monthly,£50-£100,"Online only, In-store only, Both equally",Other,I don't plan,Always,Don't consider,Quality,Very important,Never,Social Media,Very important,"Yes, regularly",Likely
18-24,Female,Under £500,Every 2-3 months,£100-£200,In-store only,Other,Weeks before,Sometimes,Somewhat prefer,Quality,Important,Rarely,Online search,Important,"Yes, occasionally",Neutral
18-24,Female,£500-£1000,Weekly,£50-£100,Both equally,Amazon,I don't plan,Always,Strongly prefer,Quality,Very important,Rarely,Social Media,Very important,"Yes, regularly",Very likely
25-34,Female,£3500+,Monthly,£50-£100,Both equally,Other,I don't plan,Sometimes,Somewhat prefer,Quality,Important,Sometimes,Social Media,Important,"Yes, occasionally",Likely
18-24,Male,Under £500,Every 2-3 months,£20-£50,Online only,H&M,Day before,Always,Strongly prefer,Brand,Very important,Very often,Social Media,Very important,No,Very likely
18-24,Male,£500-£1000,Monthly,£50-£100,In-store only,H&M,Day before,Sometimes,Somewhat prefer,Trends,Neutral,Rarely,TV ads,Important,"Yes, regularly",Neutral
18-24,Male,Under £500,Rarely,Under £20,In-store only,Other,Day before,Always,Don't consider,Price,Neutral,Never,Social Media,Neutral,No,Very unlikely
18-24,Female,Under £500,Every 2-3 months,Under £20,In-store only,Other,Day before,Rarely,Neutral,Quality,Very important,Sometimes,Social Media,Important,"Yes, occasionally",Very unlikely
18-24,Female,Under £500,Monthly,£20-£50,"In-store only, Both equally",Amazon,I don't plan,Sometimes,Neutral,Quality,Important,Rarely,In-store,Important,"Yes, occasionally",Likely
18-24,Female,Under £500,Twice a year,£20-£50,Both equally,Other,I don't plan,Sometimes,Somewhat prefer,Price,Very important,Never,In-store,Important,"Yes, occasionally",Very likely
18-24,Female,£3500+,Monthly,£200+,Both equally,Zara,Weeks before,Rarely,Neutral,Quality,Neutral,Rarely,Social Media,Important,"Yes, regularly",Likely
18-24,Female,Under £500,Every 2-3 months,Under £20,Both equally,Amazon,I don't plan,Sometimes,Somewhat prefer,Quality,Neutral,Rarely,Online search,Important,No,Neutral
18-24,Female,£1000-£2000,Monthly,£100-£200,Online only,Other,Day before,Sometimes,Strongly prefer,Brand,Very important,Sometimes,Social Media,Very important,"Yes, regularly",Very likely
18-24,Male,Under £500,Twice a year,Under £20,In-store only,Zara,I don't plan,Sometimes,Strongly prefer,Price,Very important,Rarely,Online search,Very important,No,Neutral
18-24,Female,Under £500,Every 2-3 months,Under £20,Both equally,Other,Day before,Often,Strongly prefer,Quality,Important,Rarely,Friends,Important,"Yes, occasionally",Neutral
18-24,Male,Under £500,Rarely,Under £20,"In-store only, Both equally",Other,I don't plan,Sometimes,Don't consider,Quality,Neutral,Never,Online search,Neutral,No,Likely
18-24,Male,Under £500,Twice a year,£20-£50,Both equally,Other,I don't plan,Often,Strongly prefer,Brand,Important,Sometimes,Online search,Neutral,No,Neutral
18-24,Female,Under £500,Every 2-3 months,Under £20,Both equally,Amazon,I don't plan,Sometimes,Neutral,Quality,Neutral,Rarely,Social Media,Very important,"Yes, occasionally",Neutral
18-24,Female,£3500+,Weekly,£200+,Both equally,Zara,Weeks before,Sometimes,Neutral,Quality,Neutral,Rarely,Friends,Important,"Yes, regularly",Likely
18-24,Male,£500-£1000,Monthly,£20-£50,Both equally,Zara,Weeks before,Sometimes,Somewhat prefer,Brand,Very important,Rarely,Social Media,Important,"Yes, occasionally",Likely
18-24,Female,Under £500,Every 2-3 months,£50-£100,Both equally,Amazon,Day before,Always,Strongly prefer,Quality,Very important,Sometimes,Friends,Neutral,"Yes, regularly",Very likely
25-34,Female,£1000-£2000,Monthly,£50-£100,Both equally,Amazon,Day before,Often,Somewhat prefer,Quality,Very important,Sometimes,Social Media,Very important,"Yes, occasionally",Very likely
18-24,Female,£500-£1000,Every 2-3 months,£200+,Both equally,Other,Weeks before,Sometimes,Neutral,Price,Important,Sometimes,In-store,Important,"Yes, regularly",Very likely
18-24,Female,£500-£1000,Monthly,£200+,Both equally,Amazon,Day before,Sometimes,Somewhat prefer,Brand,Important,Very often,In-store,Important,"Yes, regularly",Very likely
25-34,Male,£3500+,Rarely,£200+,Both equally,Shein,Months before,Rarely,Neutral,Trends,Neutral,Rarely,In-store,Neutral,No,Likely
18-24,Female,Under £500,Rarely,Under £20,In-store only,Other,I don't plan,Sometimes,Strongly prefer,Trends,Very important,Sometimes,Social Media,Very important,"Yes, regularly",Very likely
18-24,Male,Under £500,Every 2-3 months,Under £20,Both equally,Other,Weeks before,Never,Don't consider,Friends,Important,Rarely,TV ads,Neutral,"Yes, occasionally",Neutral
18-24,Female,Under £500,Every 2-3 months,£20-£50,In-store only,Other,I don't plan,Rarely,Strongly prefer,Quality,Very important,Rarely,Social Media,Very important,No,Neutral
18-24,Male,Under £500,Twice a year,Under £20,In-store only,Option 1,I don't plan,Often,Somewhat prefer,Quality,Very important,Rarely,Social Media,Neutral,No,Neutral
18-24,Female,£3500+,Every 2-3 months,£200+,Both equally,Other,Weeks before,Sometimes,Somewhat prefer,Quality,Very important,Rarely,Social Media,Important,"Yes, occasionally",Likely
Under 18,Male,£500-£1000,Every 2-3 months,£20-£50,Online only,Other,Weeks before,Often,Neutral,Brand,Important,Rarely,Social Media,Important,"Yes, regularly",Very likely
Under 18,Male,Under £500,Every 2-3 months,£20-£50,Both equally,Amazon,Day before,Often,Strongly prefer,Trends,Very important,Very often,Online search,Very important,"Yes, regularly",Very likely
25-34,Female,Under £500,Rarely,Under £20,In-store only,Other,I don't plan,Sometimes,Neutral,Quality,Very important,Never,In-store,Very important,No,Very unlikely
18-24,Female,Under £500,Every 2-3 months,Under £20,Both equally,Amazon,I don't plan,Rarely,Somewhat prefer,Price,Important,Never,In-store,Very important,"Yes, occasionally",Neutral
18-24,Male,Under £500,Rarely,Under £20,Both equally,Other,I don't plan,Rarely,Neutral,Quality,Important,Never,Friends,Neutral,No,Unlikely
18-24,Female,£1000-£2000,Monthly,£200+,Online only,Other,Day before,Sometimes,Somewhat prefer,Quality,Important,Sometimes,Online search,Important,"Yes, occasionally",Likely
25-34,Female,£500-£1000,Every 2-3 months,£100-£200,Both equally,Other,Months before,Rarely,Somewhat prefer,Social Media,Important,Sometimes,Online search,Important,No,Likely
18-24,Male,Under £500,Monthly,£20-£50,"Online only, In-store only",Other,I don't plan,Always,Strongly prefer,Brand,Very important,Rarely,Social Media,Very important,"Yes, occasionally",Neutral
18-24,Male,Under £500,Every 2-3 months,Under £20,In-store only,Amazon,I don't plan,Often,Somewhat prefer,Quality,Neutral,Never,Friends,Important,"Yes, occasionally",Neutral
18-24,Female,Under £500,Every 2-3 months,Under £20,Both equally,Other,Months before,Sometimes,Somewhat prefer,Quality,Very important,Sometimes,Social Media,Very important,"Yes, regularly",Very likely
18-24,Female,Under £500,Weekly,£50-£100,Both equally,Shein,I don't plan,Sometimes,Strongly prefer,Quality,Very important,Never,Social Media,Neutral,"Yes, occasionally",Very likely
18-24,Male,Under £500,Rarely,Under £20,Online only,Option 1,I don't plan,Always,Strongly prefer,Price,Very important,Very often,Social Media,Very important,"Yes, regularly",Very likely
18-24,Male,Under £500,Twice a year,Under £20,Both equally,Other,I don't plan,Sometimes,Strongly prefer,Brand,Very important,Very often,Social Media,Very important,"Yes, regularly",Very likely
18-24,Female,£500-£1000,Monthly,£200+,Both equally,Amazon,I don't plan,Often,Strongly prefer,Quality,Important,Sometimes,Social Media,Important,"Yes, occasionally",Likely
18-24,Female,Under £500,Monthly,Under £20,Online only,Amazon,I don't plan,Never,Neutral,Quality,Very important,Sometimes,Online search,Very important,No,Unlikely
18-24,Male,Under £500,Every 2-3 months,Under £20,In-store only,Amazon,I don't plan,Sometimes,Somewhat prefer,Quality,Very important,Sometimes,Social Media,Very important,No,Likely
18-24,Male,£1000-£2000,Monthly,£100-£200,"In-store only, Both equally",Zara,I don't plan,Sometimes,Somewhat prefer,Quality,Neutral,Sometimes,Online search,Not important,"Yes, occasionally",Likely
18-24,Male,£1000-£2000,Twice a year,£200+,Both equally,Amazon,I don't plan,Never,Don't consider,Brand,Very important,Sometimes,Social Media,Very important,"Yes, regularly",Very likely
18-24,Male,£500-£1000,Every 2-3 months,£20-£50,In-store only,Other,Day before,Always,Don't consider,Friends,Neutral,Rarely,In-store,Very important,No,Neutral
18-24,Male,Under £500,Every 2-3 months,£50-£100,In-store only,Amazon,I don't plan,Sometimes,Somewhat prefer,Quality,Very important,Very often,Friends,Very important,No,Neutral
Under 18,Female,Under £500,Monthly,Under £20,Both equally,Other,Day before,Often,Neutral,Quality,Very important,Very often,Friends,Important,"Yes, regularly",Very likely
18-24,Male,Under £500,Rarely,Under £20,In-store only,Amazon,Day before,Sometimes,Strongly prefer,Brand,Very important,Rarely,Social Media,Important,No,Likely
18-24,Female,Under £500,Every 2-3 months,£50-£100,"In-store only, Both equally",Amazon,I don't plan,Often,Somewhat prefer,Quality,Neutral,Rarely,In-store,Very important,"Yes, occasionally",Likely
18-24,Male,Under £500,Weekly,Under £20,"Online only, In-store only, Both equally",Option 1,Weeks before,Often,Somewhat prefer,Brand,Important,Very often,Social Media,Very important,"Yes, regularly",Very likely
18-24,Male,£3500+,Weekly,£200+,Both equally,Zara,Months before,Always,Strongly prefer,Brand,Very important,Never,Online search,Very important,"Yes, occasionally",Neutral
18-24,Female,£2000-£3500,Monthly,£200+,In-store only,Amazon,I don't plan,Rarely,Somewhat prefer,Brand,Important,Sometimes,Online search,Important,"Yes, occasionally",Neutral
18-24,Female,Under £500,Every 2-3 months,£50-£100,Online only,Other,I don't plan,Sometimes,Somewhat prefer,Quality,Important,Sometimes,Online search,Important,"Yes, occasionally",Neutral
18-24,Female,Under £500,Every 2-3 months,£20-£50,In-store only,Other,Weeks before,Rarely,Neutral,Quality,Very important,Rarely,In-store,Very important,"Yes, occasionally",Unlikely
18-24,Male,£500-£1000,Every 2-3 months,£50-£100,Both equally,Other,I don't plan,,Strongly prefer,Brand,Very important,Rarely,Social Media,Very important,"Yes, occasionally",Very likely
25-34,Male,Under £500,Rarely,£20-£50,In-store only,Other,I don't plan,Sometimes,Strongly prefer,Quality,Neutral,Rarely,In-store,Important,No,Unlikely
18-24,Female,£500-£1000,Monthly,£50-£100,In-store only,Zara,Day before,Often,Strongly prefer,Quality,Important,Sometimes,In-store,Neutral,"Yes, occasionally",Likely
18-24,Female,Under £500,Rarely,£20-£50,Both equally,Other,Weeks before,Sometimes,Somewhat prefer,Quality,Important,Very often,Social Media,Very important,"Yes, regularly",Very likely
